Date : 2022-11-27 16:21:03
Directory : /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube
Total : 129 files,  83547 codes, 167 comments, 1160 blanks, all 84874 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     73,725 |         58 |          5 |     73,788 |
| JavaScript         |         53 |      5,032 |         20 |        397 |      5,449 |
| Markdown           |          3 |      2,248 |          0 |        384 |      2,632 |
| JavaScript React   |         18 |        986 |          0 |        117 |      1,103 |
| CSS                |          7 |        584 |          0 |         77 |        661 |
| TypeScript         |         25 |        444 |         39 |        125 |        608 |
| YAML               |          4 |        225 |          8 |         21 |        254 |
| JSON with Comments |          2 |        168 |          2 |          0 |        170 |
| SQL                |          1 |         51 |         18 |         18 |         87 |
| Shell Script       |          3 |         47 |          3 |         12 |         62 |
| HTML               |          1 |         19 |         19 |          1 |         39 |
| Docker             |          2 |         12 |          0 |          0 |         12 |
| Ignore             |          2 |          5 |          0 |          2 |          7 |
| Properties         |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                         |        129 |     83,547 |        167 |      1,160 |     84,874 |
| .github                                                                                                                                                   |          1 |        100 |          0 |         18 |        118 |
| .github/workflows                                                                                                                                         |          1 |        100 |          0 |         18 |        118 |
| .trybe                                                                                                                                                    |          1 |        284 |          0 |          0 |        284 |
| __tests__                                                                                                                                                 |         40 |      4,414 |         14 |        369 |      4,797 |
| __tests__/E2E                                                                                                                                             |         10 |        820 |          0 |        205 |      1,025 |
| __tests__/config                                                                                                                                          |          4 |        118 |          0 |         27 |        145 |
| __tests__/entities                                                                                                                                        |         10 |      2,158 |          0 |         16 |      2,174 |
| __tests__/entities/leaderboard                                                                                                                            |          6 |      1,373 |          0 |          8 |      1,381 |
| __tests__/entities/matches                                                                                                                                |          4 |        785 |          0 |          8 |        793 |
| __tests__/expected_results                                                                                                                                |          3 |        754 |          0 |          6 |        760 |
| __tests__/utils                                                                                                                                           |         13 |        564 |         14 |        115 |        693 |
| app                                                                                                                                                       |         77 |     58,451 |        129 |        359 |     58,939 |
| app/backend                                                                                                                                               |         40 |     18,101 |        102 |        146 |     18,349 |
| app/backend/src                                                                                                                                           |         32 |        995 |         41 |        140 |      1,176 |
| app/backend/src/database                                                                                                                                  |         29 |        952 |         19 |        115 |      1,086 |
| app/backend/src/database/config                                                                                                                           |          1 |         15 |          0 |          3 |         18 |
| app/backend/src/database/controller                                                                                                                       |          3 |         60 |          0 |         14 |         74 |
| app/backend/src/database/interfaces                                                                                                                       |          2 |         15 |          0 |          2 |         17 |
| app/backend/src/database/interfaces/login                                                                                                                 |          1 |          7 |          0 |          1 |          8 |
| app/backend/src/database/interfaces/matches                                                                                                               |          1 |          8 |          0 |          1 |          9 |
| app/backend/src/database/middlewares                                                                                                                      |          3 |         27 |          0 |         12 |         39 |
| app/backend/src/database/migrations                                                                                                                       |          4 |        120 |          0 |          9 |        129 |
| app/backend/src/database/models                                                                                                                           |          5 |        140 |         17 |         24 |        181 |
| app/backend/src/database/routes                                                                                                                           |          4 |         33 |          0 |         17 |         50 |
| app/backend/src/database/seeders                                                                                                                          |          3 |        431 |          2 |          6 |        439 |
| app/backend/src/database/service                                                                                                                          |          3 |         96 |          0 |         24 |        120 |
| app/backend/src/database/validations                                                                                                                      |          1 |         15 |          0 |          4 |         19 |
| app/backend/src/tests                                                                                                                                     |          1 |         14 |         21 |         13 |         48 |
| app/frontend                                                                                                                                              |         35 |     40,247 |         19 |        211 |     40,477 |
| app/frontend/public                                                                                                                                       |          1 |         19 |         19 |          1 |         39 |
| app/frontend/src                                                                                                                                          |         29 |      1,622 |          0 |        206 |      1,828 |
| app/frontend/src/components                                                                                                                               |         14 |        707 |          0 |         77 |        784 |
| app/frontend/src/images                                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| app/frontend/src/pages                                                                                                                                    |          4 |        279 |          0 |         40 |        319 |
| app/frontend/src/services                                                                                                                                 |          1 |         16 |          0 |          6 |         22 |
| app/frontend/src/styles                                                                                                                                   |          7 |        584 |          0 |         77 |        661 |
| app/frontend/src/styles/components                                                                                                                        |          2 |        176 |          0 |         19 |        195 |
| app/frontend/src/styles/pages                                                                                                                             |          4 |        400 |          0 |         56 |        456 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                  | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/.github/workflows/main.yml                                                 | YAML               |        100 |          0 |         18 |        118 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/.trybe/requirements.json                                                   | JSON               |        284 |          0 |          0 |        284 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/README.md                                                                  | Markdown           |      2,161 |          0 |        360 |      2,521 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/00_coverage_tests.test.js                                    | JavaScript         |         69 |          0 |         13 |         82 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/01_database.test.js                                          | JavaScript         |         30 |          0 |          7 |         37 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/02_login_validate.test.js                                    | JavaScript         |        162 |          0 |         51 |        213 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/03_findTeams.test.js                                         | JavaScript         |        116 |          0 |         12 |        128 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/04_resultMatches.test.js                                     | JavaScript         |         51 |          0 |         21 |         72 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/05_insertMatches.test.js                                     | JavaScript         |        144 |          0 |         32 |        176 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/06_editMatches.test.js                                       | JavaScript         |         66 |          0 |         24 |         90 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/07_leaderboard_home.test.js                                  | JavaScript         |         56 |          0 |         11 |         67 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/08_leaderboard_away.test.js                                  | JavaScript         |         54 |          0 |         15 |         69 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/09_leaderboard_table.test.js                                 | JavaScript         |         72 |          0 |         19 |         91 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/config/constants.js                                              | JavaScript         |         39 |          0 |          2 |         41 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/config/puppeteer.js                                              | JavaScript         |         39 |          0 |         11 |         50 |
